Date,Open,High,Low,Close
2023-01-13,13.9,13.9,13.9,13.9
2023-01-16,13.92,13.92,13.92,13.92
2023-01-17,13.92,13.92,13.92,13.92
2023-01-18,13.92,13.92,13.92,13.92
2023-01-19,13.92,13.92,13.92,13.92
2023-01-20,13.92,13.92,13.92,13.92
2023-01-23,13.92,13.92,13.92,13.92
2023-01-24,13.86,13.86,13.86,13.86
2023-01-25,13.92,13.92,13.92,13.92
2023-01-26,13.92,13.92,13.92,13.92
2023-01-27,13.92,13.92,13.92,13.92
2023-01-30,13.92,13.92,13.92,13.92
2023-01-31,13.92,13.92,13.92,13.92
2023-02-01,13.92,13.92,13.92,13.92
2023-02-02,13.92,13.92,13.92,13.92
2023-02-03,13.92,13.92,13.92,13.92
2023-02-06,13.92,13.92,13.92,13.92
2023-02-07,13.92,13.92,13.92,13.92
2023-02-08,13.92,13.92,13.92,13.92
2023-02-09,13.92,13.92,13.92,13.92
2023-02-10,13.92,13.92,13.92,13.92
2023-02-13,13.92,13.92,13.92,13.92
2023-02-14,13.92,13.92,13.92,13.92
2023-02-15,13.92,13.92,13.92,13.92
2023-02-16,14,14,14,14
2023-02-17,14,14,14,14
2023-02-20,14,14,14,14
2023-02-21,14.26,14.26,14.26,14.26
2023-02-22,14.26,14.26,14.26,14.26
2023-02-23,14.26,14.26,14.26,14.26
2023-02-24,14.26,14.26,14.26,14.26
2023-02-27,14.26,14.26,14.26,14.26
2023-02-28,14.26,14.26,14.26,14.26
2023-03-01,14.25,14.25,14.25,14.25
2023-03-02,14.25,14.25,14.25,14.25
2023-03-03,14.25,14.25,14.25,14.25
2023-03-06,14.25,14.25,14.25,14.25
2023-03-07,14.25,14.25,14.25,14.25
2023-03-08,14.25,14.25,14.25,14.25
2023-03-09,14.25,14.25,14.25,14.25
2023-03-10,14.25,14.25,14.25,14.25
2023-03-13,14.25,14.25,14.25,14.25
2023-03-14,14.25,14.25,14.25,14.25
2023-03-15,14.25,14.25,14.25,14.25
2023-03-16,14.25,14.25,14.25,14.25
2023-03-17,14.25,14.25,14.25,14.25
2023-03-20,14.25,14.25,14.25,14.25
2023-03-21,14.25,14.25,14.25,14.25
2023-03-22,14.25,14.25,14.25,14.25
2023-03-23,14.25,14.25,14.25,14.25
2023-03-24,14.25,14.25,14.25,14.25
2023-03-27,14.25,14.25,14.25,14.25
2023-03-28,14.25,14.25,14.25,14.25
2023-03-29,14.27,14.27,14.27,14.27
2023-03-30,14.27,14.27,14.27,14.27
2023-03-31,14.27,14.27,14.27,14.27
2023-04-03,14.27,14.27,14.27,14.27
2023-04-04,14.26,14.26,14.26,14.26
2023-04-05,14.26,14.26,14.26,14.26
2023-04-06,14.26,14.26,14.26,14.26
2023-04-07,14.26,14.26,14.26,14.26
2023-04-10,14.26,14.26,14.26,14.26
2023-04-11,14.26,14.26,14.26,14.26
2023-04-12,14.26,14.26,14.26,14.26
2023-04-13,14.26,14.26,14.26,14.26
2023-04-14,14.26,14.26,14.26,14.26
2023-04-17,14.26,14.26,14.26,14.26
2023-04-18,14.26,14.26,14.26,14.26
2023-04-19,14.26,14.26,14.26,14.26
2023-04-20,14.26,14.26,14.26,14.26
2023-04-21,14.26,14.26,14.26,14.26
2023-04-24,14.26,14.26,14.26,14.26
2023-04-25,14.26,14.26,14.26,14.26
2023-04-26,14.34,14.34,14.34,14.34
2023-04-27,14.34,14.34,14.34,14.34
2023-04-28,14.34,14.34,14.34,14.34
2023-05-01,14.34,14.34,14.34,14.34
2023-05-02,14.34,14.34,14.34,14.34
2023-05-03,14.34,14.34,14.34,14.34
2023-05-04,14.34,14.34,14.34,14.34
2023-05-05,14.34,14.34,14.34,14.34
2023-05-08,14.34,14.34,14.34,14.34
2023-05-09,14.34,14.34,14.34,14.34
2023-05-10,14.34,14.34,14.34,14.34
2023-05-11,14.34,14.34,14.34,14.34
2023-05-12,14.34,14.34,14.34,14.34
2023-05-15,14.351,14.351,14.351,14.351
2023-05-16,14.3,14.3,14.3,14.3
2023-05-17,14.3,14.3,14.3,14.3
2023-05-18,14.39,14.39,14.39,14.39
2023-05-19,14.39,14.39,14.39,14.39
2023-05-22,14.39,14.39,14.39,14.39
2023-05-23,14.39,14.39,14.39,14.39
2023-05-24,14.435,14.435,14.435,14.435
2023-05-25,14.39,14.39,14.39,14.39
2023-05-26,14.39,14.39,14.39,14.39
2023-05-29,14.39,14.39,14.39,14.39
2023-05-30,14.39,14.39,14.39,14.39
2023-05-31,14.567,14.567,14.567,14.567
2023-06-01,14.567,14.567,14.567,14.567
2023-06-02,14.52,14.52,14.52,14.52
2023-06-05,14.52,14.52,14.52,14.52
2023-06-06,14.52,14.52,14.52,14.52
2023-06-07,14.51,14.51,14.51,14.51
2023-06-08,14.51,14.51,14.51,14.51
2023-06-09,14.51,14.51,14.51,14.51
2023-06-12,14.576,14.576,14.576,14.576
2023-06-13,14.53,14.53,14.53,14.53
2023-06-14,14.623,14.623,14.623,14.623
2023-06-15,14.57,14.57,14.57,14.57
2023-06-16,14.623,14.623,14.623,14.623
2023-06-19,14.57,14.57,14.57,14.57
2023-06-20,14.57,14.57,14.57,14.57
2023-06-21,14.623,14.623,14.623,14.623
2023-06-22,14.623,14.623,14.623,14.623
2023-06-23,14.57,14.57,14.57,14.57
2023-06-26,14.614,14.614,14.614,14.614
2023-06-27,14.56,14.56,14.56,14.56
2023-06-28,14.56,14.56,14.56,14.56
2023-06-29,14.56,14.56,14.56,14.56
2023-06-30,14.614,14.614,14.614,14.614
2023-07-03,14.56,14.56,14.56,14.56
2023-07-04,14.689,14.689,14.689,14.689
2023-07-05,14.689,14.689,14.689,14.689
2023-07-06,14.64,14.64,14.64,14.64
2023-07-07,14.816,14.816,14.816,14.816
2023-07-10,14.77,14.77,14.77,14.77
2023-07-11,14.77,14.77,14.77,14.77
2023-07-12,15.05,15.05,15.05,15.05
2023-07-13,15,15,15,15
2023-07-14,15.05,15.05,15.05,15.05
2023-07-17,15.15,15.15,15.15,15.15
2023-07-18,15.069,15.069,15.069,15.069
2023-07-19,15.17,15.17,15.17,15.17
2023-07-20,15.17,15.17,15.17,15.17
2023-07-21,15.332,15.332,15.332,15.332
2023-07-24,15.43,15.43,15.43,15.43
2023-07-25,15.332,15.332,15.332,15.332
2023-07-26,15.332,15.332,15.332,15.332
2023-07-27,15.332,15.332,15.332,15.332
2023-07-28,15.43,15.43,15.43,15.43
2023-07-31,15.502,15.502,15.502,15.502
2023-08-01,15.6,15.6,15.6,15.6
2023-08-02,15.379,15.379,15.379,15.379
2023-08-03,15.48,15.48,15.48,15.48
2023-08-04,15.48,15.48,15.48,15.48
2023-08-07,15.48,15.48,15.48,15.48
2023-08-08,15.379,15.379,15.379,15.379
2023-08-09,15.4,15.4,15.4,15.4
2023-08-10,15.71,15.71,15.71,15.71
2023-08-11,15.71,15.71,15.71,15.71
2023-08-14,15.71,15.71,15.71,15.71
2023-08-15,15.605,15.605,15.605,15.605
2023-08-16,15.605,15.605,15.605,15.605
2023-08-17,15.71,15.71,15.71,15.71
2023-08-18,15.605,15.605,15.605,15.605
2023-08-21,15.718,15.718,15.718,15.718
2023-08-22,15.718,15.718,15.718,15.718
2023-08-23,15.82,15.82,15.82,15.82
2023-08-24,15.82,15.82,15.82,15.82
2023-08-25,15.82,15.82,15.82,15.82
2023-08-28,15.91,15.91,15.91,15.91
2023-08-29,15.91,15.91,15.91,15.91
2023-08-30,15.91,15.91,15.91,15.91
2023-08-31,15.91,15.91,15.91,15.91
2023-09-01,15.91,15.91,15.91,15.91
2023-09-04,16.003,16.003,16.003,16.003
